Timestamp,Student ID,Attendance Code
2025/08/14 7:17:57 PM MDT,0986455,52189LEC
2025/08/14 7:18:08 PM MDT,0997376,52189LEC
2025/08/14 7:18:13 PM MDT,1014825,52189LEC
2025/08/14 7:18:13 PM MDT,1062517,52189LEC
2025/08/14 7:18:17 PM MDT,0928878,52189LEC
2025/08/14 7:18:20 PM MDT,0523330,52189LEC
2025/08/14 7:18:21 PM MDT,1016534,52189LEC
2025/08/14 7:18:22 PM MDT,0345856,52189LEC
2025/08/14 7:18:26 PM MDT,0896290,52189LEC
2025/08/14 7:18:27 PM MDT,0977963,52189LEC
2025/08/14 7:18:28 PM MDT,0517817,52189LEC
2025/08/14 7:18:31 PM MDT,603185,52189LEC
2025/08/14 7:18:31 PM MDT,1028207,52189LEC
2025/08/14 7:18:33 PM MDT,1012960,52189LEC
2025/08/14 7:18:33 PM MDT,1070102,52189LEC
2025/08/14 7:18:39 PM MDT,1039827,52189LEC
2025/08/14 7:18:40 PM MDT,0838790,52189LEC
2025/08/14 7:18:42 PM MDT,0694264,52189LEC
2025/08/14 7:18:47 PM MDT,1065569,52189LEC
2025/08/14 7:18:48 PM MDT,0737921,52189LEC
2025/08/14 7:18:48 PM MDT,0759215,52189LEC
2025/08/14 7:18:48 PM MDT,0895473,52189LEC
2025/08/14 7:18:50 PM MDT,0982244,52189LEC
2025/08/14 7:18:50 PM MDT,1047765,52189LEC
2025/08/14 7:18:51 PM MDT,0684403,52189LEC
2025/08/14 7:18:51 PM MDT,1068669,52189LEC
2025/08/14 7:18:54 PM MDT,0574404,52189LEC
2025/08/14 7:18:58 PM MDT,1038679,52189LEC
2025/08/14 7:18:58 PM MDT,0873290,52189LEC
2025/08/14 7:19:04 PM MDT,0888543,52189LEC
2025/08/14 7:19:09 PM MDT,1022282,52189LEC
2025/08/14 7:19:13 PM MDT,0910945,52189LEC
2025/08/14 7:19:14 PM MDT,0871988,52189LEC
2025/08/14 7:19:16 PM MDT,1063699,52189LEC
2025/08/14 7:19:17 PM MDT,1043694,52189LEC
2025/08/14 7:19:17 PM MDT,0934216,52189LEC
2025/08/14 7:19:18 PM MDT,1023372,52189LEC
2025/08/14 7:19:19 PM MDT,1050807,52189LEC
2025/08/14 7:19:23 PM MDT,0778750,52189LEC
2025/08/14 7:19:23 PM MDT,0891883,52189LEC
2025/08/14 7:19:24 PM MDT,1039936,52189LEC
2025/08/14 7:19:25 PM MDT,0790131,52189LEC
2025/08/14 7:19:25 PM MDT,1036964,52189LEC
2025/08/14 7:19:26 PM MDT,0801174,52189LEC
2025/08/14 7:19:26 PM MDT,0576373,52189LEC
2025/08/14 7:19:29 PM MDT,0997908,52189LEC
2025/08/14 7:19:30 PM MDT,1035199,52189LEC
2025/08/14 7:19:31 PM MDT,0490011,52189LEC
2025/08/14 7:19:32 PM MDT,0924739,52189LEC
2025/08/14 7:19:32 PM MDT,0958268,52189LEC
2025/08/14 7:19:34 PM MDT,0699217,52189LEC
2025/08/14 7:19:35 PM MDT,0934915,52189LEC
2025/08/14 7:19:35 PM MDT,1049574,52189LEC
2025/08/14 7:19:35 PM MDT,0792916,52189LEC
2025/08/14 7:19:40 PM MDT,0547169,52189LEC
2025/08/14 7:19:46 PM MDT,0964444,52189LEC
2025/08/14 7:19:46 PM MDT,1014060,52189LEC 
2025/08/14 7:19:48 PM MDT,0994114,52189LEC
2025/08/14 7:19:51 PM MDT,0944721,52189LEC
2025/08/14 7:19:52 PM MDT,0291985,52189LEC
2025/08/14 7:20:33 PM MDT,0808147,52189LEC
2025/08/14 7:21:14 PM MDT,0754151,52189LEC
2025/08/14 7:22:20 PM MDT,0842188,52189LEC
2025/08/14 7:23:25 PM MDT,1022200,52189LEC
2025/08/14 7:23:36 PM MDT,0934915,52189LEC
2025/08/14 7:23:50 PM MDT,0892298,52189LEC
2025/08/14 7:23:50 PM MDT,0833771,52189LEC
2025/08/14 7:38:08 PM MDT,1023372,10476THU
2025/08/14 7:38:17 PM MDT,1014825,10476THU
2025/08/14 7:38:19 PM MDT,0574404,10476THU
2025/08/14 7:38:21 PM MDT,1062517,10476THU
2025/08/14 7:38:22 PM MDT,0833771,10476THU
2025/08/14 7:38:32 PM MDT,1043694,10476THU
2025/08/14 7:38:34 PM MDT,1016534,10476THU
2025/08/14 7:38:35 PM MDT,0977963,10476THU
2025/08/14 7:38:37 PM MDT,0892298,10476THU
2025/08/14 7:38:41 PM MDT,1070102,10476THU
2025/08/14 7:38:42 PM MDT,0982244,10476THU
2025/08/14 7:38:43 PM MDT,1022200,10476THU
2025/08/14 7:38:45 PM MDT,0958268,10476THU
2025/08/14 7:38:46 PM MDT,0910945,10476THU
2025/08/14 7:38:49 PM MDT,0792916,10476THU
2025/08/14 7:38:50 PM MDT,0997908,10476THU
2025/08/14 7:38:53 PM MDT,0928878,10476THU
2025/08/14 7:38:54 PM MDT,0790131,10476THU
2025/08/14 7:38:57 PM MDT,1065569,10476THU
2025/08/14 7:38:57 PM MDT,0684403,10476THU
2025/08/14 7:38:58 PM MDT,1038679,10476THU
2025/08/14 7:39:03 PM MDT,0759215,10476THU
2025/08/14 7:39:04 PM MDT,0547169,10476THU
2025/08/14 7:39:06 PM MDT,1036964,10476THU
2025/08/14 7:39:08 PM MDT,0934915,10476THU
2025/08/14 7:39:19 PM MDT,0997376,10476THU
2025/08/14 7:39:22 PM MDT,1050807,10476THU
2025/08/14 7:39:33 PM MDT,0754151,10476THU
2025/08/14 7:39:42 PM MDT,0778750,10476THU
2025/08/14 7:40:00 PM MDT,0808147,10476THU
2025/08/14 7:40:37 PM MDT,0789335,10476THU
