"Timestamp","Student ID","Attendance Code"
"2025/08/19 7:18:03 PM MDT","1039827","81254LEC"
"2025/08/19 7:18:05 PM MDT","0986455","81254LEC"
"2025/08/19 7:18:06 PM MDT","1065569","81254LEC"
"2025/08/19 7:18:13 PM MDT","1068669","81254LEC"
"2025/08/19 7:18:18 PM MDT","0547169","81254LEC"
"2025/08/19 7:18:22 PM MDT","0958268","81254LEC"
"2025/08/19 7:18:24 PM MDT","0982244","81254LEC"
"2025/08/19 7:18:32 PM MDT","0694264","81254LEC"
"2025/08/19 7:18:37 PM MDT","1014825","81254LEC"
"2025/08/19 7:18:37 PM MDT","0896290","81254LEC"
"2025/08/19 7:18:39 PM MDT"," 1047765","81254LEC"
"2025/08/19 7:18:39 PM MDT","0790131","81254LEC"
"2025/08/19 7:18:40 PM MDT","0997376","81254LEC"
"2025/08/19 7:18:42 PM MDT","0977963","81254LEC"
"2025/08/19 7:18:46 PM MDT","0985631","81254LEC"
"2025/08/19 7:18:48 PM MDT","0934216","81254LEC"
"2025/08/19 7:18:49 PM MDT","0574404","81254LEC"
"2025/08/19 7:18:54 PM MDT","0910945","81254LEC"
"2025/08/19 7:19:02 PM MDT","0684403","81254LEC"
"2025/08/19 7:19:05 PM MDT","0891883","81254LEC"
"2025/08/19 7:19:06 PM MDT","1016534","81254LEC"
"2025/08/19 7:19:09 PM MDT","0928878","81254LEC"
"2025/08/19 7:19:13 PM MDT","0517818","81254LEC"
"2025/08/19 7:19:16 PM MDT","0977589","81254LEC"
"2025/08/19 7:19:17 PM MDT","0842166","81254LEC"
"2025/08/19 7:19:19 PM MDT","0864814","81254LEC"
"2025/08/19 7:19:19 PM MDT","0994115","81254LEC"
"2025/08/19 7:19:21 PM MDT","0775232","81254LEC"
"2025/08/19 7:19:25 PM MDT","1012960","81254LEC"
"2025/08/19 7:19:26 PM MDT","1028207","81254LEC"
"2025/08/19 7:19:30 PM MDT","0964444","81254LEC"
"2025/08/19 7:19:36 PM MDT","0873290","81254LEC"
"2025/08/19 7:19:37 PM MDT","0291985","81254LEC"
"2025/08/19 7:19:38 PM MDT","1050807","81254LEC"
"2025/08/19 7:19:39 PM MDT","0924739","81254LEC"
"2025/08/19 7:19:40 PM MDT","1070102","81254LEC"
"2025/08/19 7:19:40 PM MDT","0934915","81254LEC"
"2025/08/19 7:19:41 PM MDT","1039936","81254LEC"
"2025/08/19 7:19:41 PM MDT","0833771","81254LEC"
"2025/08/19 7:19:41 PM MDT","0759215","81254LEC"
"2025/08/19 7:19:42 PM MDT","0891883","81254LEC"
"2025/08/19 7:19:42 PM MDT","0997908","81254LEC"
"2025/08/19 7:19:43 PM MDT","1024952","81254LEC"
"2025/08/19 7:19:45 PM MDT","1023372","81254LEC"
"2025/08/19 7:19:46 PM MDT","0737921","81254LEC"
"2025/08/19 7:19:47 PM MDT","0490011","81254LEC"
"2025/08/19 7:19:49 PM MDT","0808147","81254LEC"
